mRNA,GO,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,Month
evm.TU.chromosome_12.1904,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.180,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.180,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.185,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.185,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.185,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1001,GO:0031593,polyubiquitin modification-dependent protein bindin...,60,3,0.45,0.04839,Molecular Functions,0.05,August
evm.TU.chromosome_12.3332,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.4026,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1459,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1459,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2182,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2182,GO:0004386,helicase activity,274,7,2.07,0.00407,Molecular Functions,0.02554744526,August
evm.TU.chromosome_12.2185,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2185,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1982,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.1982,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3587.1.5f15e442,GO:0051538,"3 iron, 4 sulfur cluster binding",4,1,0.03,0.02982,Molecular Functions,0.25,August
evm.TU.chromosome_12.3587.1.5f15e442,GO:0051539,"4 iron, 4 sulfur cluster binding",43,2,0.32,0.04169,Molecular Functions,0.04651162791,August
evm.TU.chromosome_12.3587.1.5f15e442,GO:0003994,aconitate hydratase activity,3,1,0.02,0.02245,Molecular Functions,0.3333333333,August
evm.TU.chromosome_12.3587.1.5f15e442,GO:0030350,iron-responsive element binding,2,1,0.02,0.01502,Molecular Functions,0.5,August
evm.TU.chromosome_12.3587.1.5f15e442,GO:0051539,"4 iron, 4 sulfur cluster binding",43,2,0.32,0.04169,Molecular Functions,0.04651162791,August
evm.TU.chromosome_12.3587.1.5f15e442,GO:0003994,aconitate hydratase activity,3,1,0.02,0.02245,Molecular Functions,0.3333333333,August
evm.TU.chromosome_12.3587,GO:0051538,"3 iron, 4 sulfur cluster binding",4,1,0.03,0.02982,Molecular Functions,0.25,August
evm.TU.chromosome_12.3587,GO:0051539,"4 iron, 4 sulfur cluster binding",43,2,0.32,0.04169,Molecular Functions,0.04651162791,August
evm.TU.chromosome_12.3587,GO:0003994,aconitate hydratase activity,3,1,0.02,0.02245,Molecular Functions,0.3333333333,August
evm.TU.chromosome_12.3587,GO:0030350,iron-responsive element binding,2,1,0.02,0.01502,Molecular Functions,0.5,August
evm.TU.chromosome_12.3587,GO:0051539,"4 iron, 4 sulfur cluster binding",43,2,0.32,0.04169,Molecular Functions,0.04651162791,August
evm.TU.chromosome_12.3587,GO:0003994,aconitate hydratase activity,3,1,0.02,0.02245,Molecular Functions,0.3333333333,August
evm.TU.chromosome_12.3588,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.3869,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3863,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.3867,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.296,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.295,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2669,GO:0005164,tumor necrosis factor receptor binding,140,4,1.06,0.0216,Molecular Functions,0.02857142857,August
evm.TU.chromosome_12.2669,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.2312,GO:0005164,tumor necrosis factor receptor binding,140,4,1.06,0.0216,Molecular Functions,0.02857142857,August
evm.TU.chromosome_12.2290,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2290,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3743,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3743,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3747,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3747,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3744,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3744,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3749,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3749,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.210,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.210,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.210,GO:0004386,helicase activity,274,7,2.07,0.00407,Molecular Functions,0.02554744526,August
evm.TU.chromosome_12.219,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.219,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3948,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3944,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3945,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1397,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1397,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1398,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1972,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1972,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.1972,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2589,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.2589,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1745,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.12,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.12,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1463,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1463,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2502,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2502,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3166,GO:0045735,nutrient reservoir activity,6,1,0.05,0.0444,Molecular Functions,0.1666666667,August
evm.TU.chromosome_12.3832,GO:0004325,ferrochelatase activity,4,1,0.03,0.02982,Molecular Functions,0.25,August
evm.TU.chromosome_12.3832,GO:0004325,ferrochelatase activity,4,1,0.03,0.02982,Molecular Functions,0.25,August
evm.TU.chromosome_12.3442,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3442,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.878,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2155,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.751,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.751,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.750,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.750,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.754,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3676,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.3098,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.3098,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.2799,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.2799,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.2794,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.2794,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.2794,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.2795,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.2790,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.1311,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1311,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3200,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3200,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2363,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2363,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.4128,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.4128,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1574,GO:0001046,core promoter sequence-specific DNA binding,39,2,0.29,0.03488,Molecular Functions,0.05128205128,August
evm.TU.chromosome_12.657,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3199,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3199,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1928,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1926,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.1927,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1923,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.2698,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.425,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.425,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2593,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2593,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.41,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3802,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3802,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2766,GO:0043130,ubiquitin binding,42,2,0.32,0.03994,Molecular Functions,0.04761904762,August
evm.TU.chromosome_12.2766,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.1502,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.595,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1439,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1439,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1434,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2167,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2167,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1371,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1371,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2551,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.2552,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3601,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3601,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3881,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3881,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3880,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3880,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3882,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3882,GO:0005200,structural constituent of cytoskeleton,79,3,0.6,0.02189,Molecular Functions,0.03797468354,August
evm.TU.chromosome_12.3887,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3888,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3888,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2455,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2458,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1814,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1814,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.513,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.497,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.497,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.2338,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2331,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.2331,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2336,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1892,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1892,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1896,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1896,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1274,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1274,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1275.1.5f168c68,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1275.1.5f168c68,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1275,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1275,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1913,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.1913,GO:0031593,polyubiquitin modification-dependent protein bindin...,60,3,0.45,0.04839,Molecular Functions,0.05,August
evm.TU.chromosome_12.1919,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1919,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1919,GO:0004386,helicase activity,274,7,2.07,0.00407,Molecular Functions,0.02554744526,August
evm.TU.chromosome_12.414,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.3306,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.604,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1447,GO:0031593,polyubiquitin modification-dependent protein bindin...,60,3,0.45,0.04839,Molecular Functions,0.05,August
evm.TU.chromosome_12.1995,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.136,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.136,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.2990,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2990,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1931_evm.TU.chromosome_12.1932.1.5f168ecf,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2380,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.683,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.683,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.2814,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3148,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3148,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.306,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.308,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.308,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.308,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.308,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.1800_evm.TU.chromosome_12.1799,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1800_evm.TU.chromosome_12.1799,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3263,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.1328,GO:0008017,microtubule binding,145,4,1.09,0.02419,Molecular Functions,0.0275862069,August
evm.TU.chromosome_12.2678,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2678,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3107_evm.TU.chromosome_12.3108,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.3107_evm.TU.chromosome_12.3108,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2301,GO:0004252,serine-type endopeptidase activity,302,7,2.28,0.00805,Molecular Functions,0.02317880795,August
evm.TU.chromosome_12.1515,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.924,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.924,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.924,GO:0008843,endochitinase activity,9,2,0.07,0.00196,Molecular Functions,0.2222222222,August
evm.TU.chromosome_12.924,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.925,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.925,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.925,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.925,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.923,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.923,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.923,GO:0008843,endochitinase activity,9,2,0.07,0.00196,Molecular Functions,0.2222222222,August
evm.TU.chromosome_12.923,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.923,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.928,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.928,GO:0004568,chitinase activity,22,5,0.17,0.00011,Molecular Functions,0.2272727273,August
evm.TU.chromosome_12.928,GO:0008843,endochitinase activity,9,2,0.07,0.00196,Molecular Functions,0.2222222222,August
evm.TU.chromosome_12.928,GO:0008061,chitin binding,76,6,0.57,2.30E-05,Molecular Functions,0.07894736842,August
evm.TU.chromosome_12.929,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.929,GO:0051879,Hsp90 protein binding,20,2,0.15,0.00981,Molecular Functions,0.1,August
evm.TU.chromosome_12.929,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.2400,GO:0005164,tumor necrosis factor receptor binding,140,4,1.06,0.0216,Molecular Functions,0.02857142857,August
evm.TU.chromosome_12.2400,GO:0031625,ubiquitin protein ligase binding,324,7,2.44,0.01155,Molecular Functions,0.02160493827,August
evm.TU.chromosome_12.3757,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.227,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
evm.TU.chromosome_12.228,GO:0005524,ATP binding,2243,29,16.91,0.00245,Molecular Functions,0.0129291128,August
