miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,Swiss.Prot_Hit,SP_E.value,Swiss.Prot_Description,Trembl_Hit,TB_E.value,Trembl_Description,NCBI_hit,nr_E.value,NCBI_Description,GO_Swiss.Prot,GO_Trembl
Cluster_995,evm.TU.chromosome_12.1896,-0.1857097865,0.4465416909,0.8869508481,164,-22.73,2 21,759 780,19,73.68%,78.95%,sp|P41825|HSP71_ANOAL,0,Heat shock protein 70 A1 OS=Anopheles albimanus GN=HSP70A1 PE=3 SV=1,tr|A0A0E3Z4Z8|A0A0E3Z4Z8_STYPI,0,Heat shock protein 70 OS=Stylophora pistillata GN=HSP70 PE=3 SV=1,ref|XP_020619238.1|,0,heat shock protein 70 A1-like [Orbicella faveolata],GO:0005524,GO:0005524
Cluster_9000,evm.TU.chromosome_12.3764,0.2677411914,0.2677695908,0.8171576235,166,-21.57,2 20,393 415,19,73.68%,89.47%,sp|Q8N4P6|LRC71_HUMAN,9.69E-21,Leucine-rich repeat-containing protein 71 OS=Homo sapiens GN=LRRC71 PE=2 SV=1,tr|A0A2B4RY45|A0A2B4RY45_STYPI,2.47E-69,Leucine-rich repeat-containing protein 71 OS=Stylophora pistillata GN=Lrrc71 PE=4 SV=1,ref|XP_020608509.1|,1.96E-75,leucine-rich repeat-containing protein 71-like [Orbicella faveolata],,
Cluster_3406,evm.TU.chromosome_12.3765,0.1311711544,0.592464859,0.9270331913,156,-22.7,2 19,49 74,21,71.43%,80.95%,sp|Q5RF48|SBP1_PONAB,0,Selenium-binding protein 1 OS=Pongo abelii GN=SELENBP1 PE=2 SV=1,tr|A0A2B4RVI0|A0A2B4RVI0_STYPI,0,Selenium-binding protein 1 OS=Stylophora pistillata GN=Selenbp1 PE=4 SV=1,ref|XP_020608514.1|,0,selenium-binding protein 1-like [Orbicella faveolata],GO:0005829; GO:0016020; GO:0005634; GO:0008430; GO:0015031,GO:0008430
Cluster_860,evm.TU.chromosome_2.256,-0.1500562271,0.5397685872,0.9133757687,167,-22.1,2 20,241 262,18,77.78%,83.33%,NA,NA,NA,tr|A0A2B4RNW8|A0A2B4RNW8_STYPI,1.89E-73,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene15441 PE=4 SV=1,ref|XP_020606771.1|,0,uncharacterized protein LOC110045510 [Orbicella faveolata],NA,
Cluster_1772,evm.TU.chromosome_2.255,-0.4620977688,0.0463833995,0.5619508653,159,-21.58,2 21,711 735,22,68.18%,77.27%,sp|Q9Y2F9|BTBD3_HUMAN,2.82E-77,BTB/POZ domain-containing protein 3 OS=Homo sapiens GN=BTBD3 PE=1 SV=1,tr|A0A2B4RV47|A0A2B4RV47_STYPI,2.03E-145,BTB/POZ domain-containing protein 6 OS=Stylophora pistillata GN=Btbd6 PE=4 SV=1,ref|XP_022799255.1|,1.36E-148,BTB/POZ domain-containing protein 6-A-like [Stylophora pistillata],GO:0005829; GO:0005634; GO:0019005; GO:0031625; GO:0021987; GO:0048813; GO:0043161; GO:0042787; GO:0030162,
Cluster_4425,evm.TU.chromosome_4.1656,-0.2484042203,0.3051518238,0.83563507,155,-22.37,2 21,154 178,22,68.18%,72.73%,sp|P07314|GGT1_RAT,7.41E-164,Glutathione hydrolase 1 proenzyme OS=Rattus norvegicus GN=Ggt1 PE=1 SV=4,tr|A0A2B4S5Q8|A0A2B4S5Q8_STYPI,0,Gamma-glutamyltranspeptidase 1 OS=Stylophora pistillata GN=GGT1 PE=4 SV=1,ref|XP_020629872.1|,0,gamma-glutamyltranspeptidase 1-like [Orbicella faveolata],GO:0070062; GO:0005615; GO:0005887; GO:0005886; GO:0031982; GO:0036374; GO:0102953; GO:0103068; GO:0002951; GO:0000048; GO:0016755; GO:0007568; GO:0006520; GO:0034599; GO:0019344; GO:0006631; GO:0006536; GO:0006750; GO:0006751; GO:1901750; GO:0031179; GO:0006508; GO:0002682; GO:0050727; GO:0032355; GO:0032496; GO:0034612; GO:0007283; GO:0031638,GO:0016021; GO:0036374; GO:0006751
Cluster_1453,evm.TU.chromosome_5.2190,0.3812305381,0.107302993,0.6859497617,177,-26.99,2 18,370 391,16,87.50%,100.00%,sp|E7FAM5|LIN41_DANRE,1.04E-128,E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1,tr|A0A2B4SW47|A0A2B4SW47_STYPI,0,E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1,ref|XP_020605772.1|,0,E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata],GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089,GO:0005622; GO:0016874; GO:0008270
Cluster_3037,evm.TU.chromosome_5.2190,0.2045346738,0.4009346099,0.8727403927,169,-23.96,2 20,804 823,18,77.78%,94.44%,sp|E7FAM5|LIN41_DANRE,1.04E-128,E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1,tr|A0A2B4SW47|A0A2B4SW47_STYPI,0,E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1,ref|XP_020605772.1|,0,E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata],GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089,GO:0005622; GO:0016874; GO:0008270
Cluster_2097,evm.TU.chromosome_4.2142,0.2893071672,0.2296152621,0.7960465822,178,-26.37,2 21,68 92,22,86.36%,86.36%,sp|C3ZQF9|QRFPR_BRAFL,3.40E-24,QRFP-like peptide receptor OS=Branchiostoma floridae GN=QRFPR PE=3 SV=1,tr|A7S2E1|A7S2E1_NEMVE,4.94E-129,Predicted protein OS=Nematostella vectensis GN=v1g242370 PE=4 SV=1,ref|XP_020623649.1|,0,D(2)-like dopamine receptor [Orbicella faveolata],GO:0005887; GO:0004930; GO:0004983; GO:0042277; GO:0032870; GO:1901653; GO:1901652,GO:0005887; GO:0008528; GO:0007218; GO:0007200
Cluster_3331,evm.TU.chromosome_5.2446,0.3664565232,0.1227914336,0.7064962424,157,-21.18,2 14,238 259,12,91.67%,91.67%,NA,NA,NA,tr|A0A2B4S491|A0A2B4S491_STYPI,2.59E-39,Ubiquitin carboxyl-terminal hydrolase 36 OS=Stylophora pistillata GN=Usp36 PE=4 SV=1,ref|XP_020620483.1|,9.24E-118,uncharacterized protein LOC110058227 [Orbicella faveolata],NA,GO:0036459; GO:0016579; GO:0006511
Cluster_3337,evm.TU.chromosome_5.2446,-0.3598174161,0.1302438331,0.7150863903,157,-21.18,2 14,238 259,12,91.67%,91.67%,NA,NA,NA,tr|A0A2B4S491|A0A2B4S491_STYPI,2.59E-39,Ubiquitin carboxyl-terminal hydrolase 36 OS=Stylophora pistillata GN=Usp36 PE=4 SV=1,ref|XP_020620483.1|,9.24E-118,uncharacterized protein LOC110058227 [Orbicella faveolata],NA,GO:0036459; GO:0016579; GO:0006511
Cluster_3338,evm.TU.chromosome_5.2446,-0.3578724503,0.1324861238,0.7175425419,157,-21.18,2 14,238 259,12,91.67%,91.67%,NA,NA,NA,tr|A0A2B4S491|A0A2B4S491_STYPI,2.59E-39,Ubiquitin carboxyl-terminal hydrolase 36 OS=Stylophora pistillata GN=Usp36 PE=4 SV=1,ref|XP_020620483.1|,9.24E-118,uncharacterized protein LOC110058227 [Orbicella faveolata],NA,GO:0036459; GO:0016579; GO:0006511
Cluster_4640,evm.TU.chromosome_7.1231,0.2053278787,0.3990707259,0.8720578927,168,-21.3,2 21,812 833,19,73.68%,84.21%,NA,NA,NA,tr|A7SRN7|A7SRN7_NEMVE,3.23E-83,Predicted protein OS=Nematostella vectensis GN=v1g246971 PE=4 SV=1,ref|XP_020631265.1|,4.19E-166,"uncharacterized protein LOC110068221, partial [Orbicella faveolata]",NA,GO:0016021
Cluster_2972,evm.TU.chromosome_7.1230,-0.3057208853,0.2030611117,0.7787716252,171,-23.09,2 20,746 767,18,83.33%,83.33%,NA,NA,NA,tr|A7SRN7|A7SRN7_NEMVE,1.36E-26,Predicted protein OS=Nematostella vectensis GN=v1g246971 PE=4 SV=1,ref|XP_020631242.1|,1.34E-148,uncharacterized protein LOC110068201 [Orbicella faveolata],NA,GO:0016021
Cluster_137,evm.TU.chromosome_3.829,0.2194283193,0.3667365814,0.8608172763,151,-21.95,2 21,507 530,21,66.67%,71.43%,NA,NA,NA,tr|A0A2B4S083|A0A2B4S083_STYPI,0,Latrophilin-3 OS=Stylophora pistillata GN=LPHN3 PE=4 SV=1,ref|XP_022777606.1|,0,uncharacterized protein LOC111319040 [Stylophora pistillata],NA,GO:0016021; GO:0004930; GO:0005525; GO:0007166
Cluster_3423,evm.TU.chromosome_3.821,-0.2974723031,0.2161389982,0.7878559042,176,-20.83,2 21,966 987,19,78.95%,89.47%,NA,NA,NA,tr|A0A1B6J2Y1|A0A1B6J2Y1_9HEMI,5.03E-13,Uncharacterized protein (Fragment) OS=Homalodisca liturata GN=g.58596 PE=4 SV=1,ref|XP_015749924.1|,6.31E-17,PREDICTED: uncharacterized protein LOC107329766 [Acropora digitifera],NA,
Cluster_4425,evm.TU.chromosome_10.3188,0.2577890784,0.2866346917,0.8266169304,163,-20.27,2 20,333 354,18,72.22%,83.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_247,evm.TU.chromosome_3.796,-0.02381994522,0.9228907509,0.9895401867,174,-22.76,2 21,660 683,21,85.71%,85.71%,sp|Q5R4R3|OGFD1_PONAB,8.91E-160,Prolyl 3-hydroxylase OGFOD1 OS=Pongo abelii GN=OGFOD1 PE=2 SV=1,tr|A0A2B4RU40|A0A2B4RU40_STYPI,0,Prolyl 3-hydroxylase OGFOD1 OS=Stylophora pistillata GN=OGFOD1 PE=4 SV=1,ref|XP_022799758.1|,0,prolyl 3-hydroxylase OGFOD1-like [Stylophora pistillata],GO:0010494; GO:0005634; GO:0005506; GO:0031418; GO:0031544; GO:0031543; GO:0008283; GO:0018126; GO:0006449; GO:0034063,GO:0005506; GO:0031418; GO:0016706
Cluster_3044,evm.TU.chromosome_10.3234,0.1270703293,0.6041837531,0.92968013,166,-20.91,2 20,146 168,19,73.68%,89.47%,sp|Q3SZ90|RL13A_BOVIN,4.09E-96,60S ribosomal protein L13a OS=Bos taurus GN=RPL13A PE=2 SV=3,tr|A0A2B4T1K0|A0A2B4T1K0_STYPI,2.79E-131,60S ribosomal protein L13a OS=Stylophora pistillata GN=RPL13A PE=4 SV=1,gb|PFX34537.1|,4.33E-131,60S ribosomal protein L13a-like [Stylophora pistillata],GO:0022625; GO:0097452; GO:0003729; GO:0003735; GO:1901194; GO:0017148; GO:0006412,GO:0015934; GO:0003735; GO:0006412
Cluster_2003,evm.TU.chromosome_5.1278,-0.1120520478,0.6478809873,0.9396969483,147,-21.32,2 21,205 229,22,59.09%,72.73%,sp|Q2TB18|ASTE1_HUMAN,9.92E-77,Protein asteroid homolog 1 OS=Homo sapiens GN=ASTE1 PE=1 SV=1,tr|A0A2B4RL84|A0A2B4RL84_STYPI,0,Protein asteroid-like 1 OS=Stylophora pistillata GN=ASTE1 PE=4 SV=1,ref|XP_020624190.1|,0,protein asteroid homolog 1-like [Orbicella faveolata],GO:0004518; GO:0006281,
Cluster_3406,evm.TU.chromosome_5.1271,-0.09413655379,0.7014767213,0.9510375231,164,-22.34,2 18,364 386,17,82.35%,88.24%,sp|Q8N9Y4|F181A_HUMAN,7.47E-10,Protein FAM181A OS=Homo sapiens GN=FAM181A PE=2 SV=3,tr|A0A2B4RLH7|A0A2B4RLH7_STYPI,1.57E-163,Protein FAM181B OS=Stylophora pistillata GN=Fam181b PE=4 SV=1,ref|XP_020624172.1|,0,uncharacterized protein LOC110061660 [Orbicella faveolata],,
Cluster_2097,evm.TU.chromosome_8.2772,-0.1515088575,0.5358055554,0.9122130916,165,-20.07,2 21,403 422,19,78.95%,84.21%,NA,NA,NA,tr|A0A2B4S141|A0A2B4S141_STYPI,1.98E-89,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12708 PE=4 SV=1,ref|XP_015748272.1|,0,PREDICTED: uncharacterized protein LOC107328073 [Acropora digitifera],NA,
Cluster_4754,evm.TU.chromosome_6.2727,-0.3716419624,0.1171850225,0.699509416,168,-20.54,2 21,189 210,19,78.95%,78.95%,sp|Q6Y5D8|RHG10_MOUSE,6.82E-28,Rho GTPase-activating protein 10 OS=Mus musculus GN=Arhgap10 PE=1 SV=2,tr|A0A2B4SS15|A0A2B4SS15_STYPI,7.34E-44,Rho GTPase-activating protein 26 OS=Stylophora pistillata GN=arhgap26 PE=4 SV=1,ref|XP_020604144.1|,1.25E-44,rho GTPase-activating protein 26-like isoform X1 [Orbicella faveolata],GO:0005829; GO:0048471; GO:0005886; GO:0005096; GO:0007010; GO:0043066; GO:0007165,GO:0005096; GO:0007165
Cluster_4754,evm.TU.chromosome_6.2726,0.03435405684,0.8889600626,0.9846115708,168,-20.54,2 21,306 327,19,78.95%,78.95%,NA,NA,NA,tr|A0A0A9XLN6|A0A0A9XLN6_LYGHE,1.06E-103,Putative zinc finger CCCH domain-containing protein 10 (Fragment) OS=Lygus hesperus GN=CM83_35739 PE=4 SV=1,ref|XP_022290286.1|,4.85E-130,uncharacterized protein LOC111101924 [Crassostrea virginica],NA,
Cluster_860,evm.TU.chromosome_13.1248,-0.1022605464,0.6769875724,0.9457843871,159,-22.53,2 21,613 638,23,65.22%,78.26%,NA,NA,NA,tr|A0A2B4T1B5|A0A2B4T1B5_STYPI,1.40E-87,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene649 PE=4 SV=1,gb|PFX34415.1|,2.17E-87,hypothetical protein AWC38_SpisGene649 [Stylophora pistillata],NA,
Cluster_30,evm.TU.chromosome_6.2899,-0.000981017734,0.9968197789,0.9996349888,167,-21.98,2 17,768 790,16,87.50%,93.75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_9000,evm.TU.chromosome_6.2896,0.06670526201,0.7861419572,0.9673965248,179,-25.86,2 20,871 892,18,83.33%,94.44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_508,evm.TU.chromosome_1.1199_evm.TU.chromosome_1.1201,0.02013044994,0.9348078754,0.991291284,163,-20.84,2 17,323 345,16,87.50%,87.50%,sp|Q96AY4|TTC28_HUMAN,1.71E-37,Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4,tr|A0A2B4S9S7|A0A2B4S9S7_STYPI,0,Nephrocystin-3 OS=Stylophora pistillata GN=nphp3 PE=4 SV=1,ref|XP_020621187.1|,0,uncharacterized protein LOC110058866 [Orbicella faveolata],GO:0005737; GO:0005815; GO:0030496; GO:0000922; GO:0019900; GO:0007049; GO:0051301; GO:0007346,GO:0043531
Cluster_2003,evm.TU.chromosome_4.2462,-0.4399979874,0.05940537657,0.5988932381,150,-23.52,2 21,689 709,19,68.42%,73.68%,sp|P79126|PPM1G_BOVIN,2.94E-77,Protein phosphatase 1G OS=Bos taurus GN=PPM1G PE=2 SV=2,tr|A0A2B4RPA0|A0A2B4RPA0_STYPI,0,Protein phosphatase 1G OS=Stylophora pistillata GN=PPM1G PE=4 SV=1,ref|XP_020613770.1|,0,probable protein phosphatase 2C 21 [Orbicella faveolata],GO:0005737; GO:0016020; GO:0005654; GO:0046872; GO:0004722; GO:0007050; GO:0035970,GO:0046872; GO:0004722
Cluster_4425,evm.TU.chromosome_4.2461,-0.1896607925,0.4367540145,0.8839349204,170,-20.27,2 19,74 95,17,82.35%,88.24%,NA,NA,NA,tr|A0A2B4RPW9|A0A2B4RPW9_STYPI,0,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Stylophora pistillata GN=Cox5b PE=4 SV=1",ref|XP_020613930.1|,0,uncharacterized protein LOC110052141 [Orbicella faveolata],NA,GO:0005740; GO:0004129
Cluster_449,evm.TU.chromosome_13.4037,0.3468151919,0.1457508455,0.7318746581,170,-22,2 21,925 945,19,78.95%,89.47%,sp|Q861W0|IKBL1_PANTR,7.52E-25,NF-kappa-B inhibitor-like protein 1 OS=Pan troglodytes GN=NFKBIL1 PE=3 SV=1,tr|A0A2B4S2M0|A0A2B4S2M0_STYPI,1.21E-151,NF-kappa-B inhibitor-like protein 1 OS=Stylophora pistillata GN=NFKBIL1 PE=4 SV=1,ref|XP_020610253.1|,0,NF-kappa-B inhibitor-like protein 1 [Orbicella faveolata],GO:0005634; GO:0071222; GO:0007249; GO:0031665; GO:0032088; GO:0034122; GO:0032720,
Cluster_1473,evm.TU.chromosome_11.3096,-0.1727580152,0.4794063532,0.896503437,171,-20.8,2 20,807 828,18,83.33%,83.33%,sp|Q8CBH5|MFSD6_MOUSE,4.44E-32,Major facilitator superfamily domain-containing protein 6 OS=Mus musculus GN=Mfsd6 PE=1 SV=1,tr|A7SX88|A7SX88_NEMVE,4.10E-74,Predicted protein OS=Nematostella vectensis GN=v1g218913 PE=4 SV=1,ref|XP_020603434.1|,0,major facilitator superfamily domain-containing protein 6-like [Orbicella faveolata],GO:0016021; GO:0002250,GO:0016021
Cluster_1192,evm.TU.chromosome_3.23,0.05907012363,0.8101676546,0.9716006604,168,-21.54,2 17,48 69,15,86.67%,93.33%,sp|Q6ZNA5|FRRS1_HUMAN,1.85E-49,Ferric-chelate reductase 1 OS=Homo sapiens GN=FRRS1 PE=2 SV=2,tr|A0A2B4S3J4|A0A2B4S3J4_STYPI,0,Putative ferric-chelate reductase 1 OS=Stylophora pistillata GN=frrs1 PE=4 SV=1,gb|PFX23976.1|,0,putative ferric-chelate reductase 1 isoform X2 [Stylophora pistillata],GO:0016021; GO:0000293; GO:0046872,GO:0016021; GO:0055114
Cluster_3406,evm.TU.chromosome_3.1320,-0.05262677846,0.830571254,0.9750492372,169,-24.68,2 21,599 620,20,85.00%,85.00%,NA,NA,NA,tr|A0A2B4R5N2|A0A2B4R5N2_STYPI,7.70E-47,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene23574 PE=4 SV=1,ref|XP_020629553.1|,4.27E-107,uncharacterized protein LOC110066662 isoform X1 [Orbicella faveolata],NA,
Cluster_4425,evm.TU.chromosome_3.1320,-0.2732725481,0.2576281401,0.811815059,157,-24.06,2 21,589 608,19,68.42%,84.21%,NA,NA,NA,tr|A0A2B4R5N2|A0A2B4R5N2_STYPI,7.70E-47,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene23574 PE=4 SV=1,ref|XP_020629553.1|,4.27E-107,uncharacterized protein LOC110066662 isoform X1 [Orbicella faveolata],NA,
Cluster_4646,evm.TU.chromosome_10.2851,-0.06723111162,0.7844937857,0.9671256822,164,-22.73,2 20,943 962,18,77.78%,88.89%,sp|Q69Z37|SAM9L_MOUSE,3.06E-07,Sterile alpha motif domain-containing protein 9-like OS=Mus musculus GN=Samd9l PE=1 SV=2,tr|A0A2B4R712|A0A2B4R712_STYPI,0,Sterile alpha motif domain-containing protein 9-like OS=Stylophora pistillata GN=Samd9l PE=4 SV=1,ref|XP_020620965.1|,0,sterile alpha motif domain-containing protein 9-like [Orbicella faveolata],GO:0005769; GO:0035726; GO:0034058; GO:0002244; GO:0042176; GO:0048536; GO:0017145,
Cluster_4646,evm.TU.chromosome_14.7168,0.2330151734,0.3370352346,0.8492854614,159,-24.89,2 21,564 591,25,64.00%,76.00%,sp|Q460N5|PAR14_HUMAN,4.12E-63,Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3,tr|A0A2B4S964|A0A2B4S964_STYPI,3.09E-151,Poly [ADP-ribose] polymerase 14 OS=Stylophora pistillata GN=Parp14 PE=4 SV=1,ref|XP_020616913.1|,7.90E-173,poly [ADP-ribose] polymerase 14-like [Orbicella faveolata],GO:0005737; GO:0005829; GO:0016020; GO:0005634; GO:0019899; GO:0003950; GO:0070403; GO:0003723; GO:0045087; GO:0010629; GO:0060336; GO:0042532; GO:1902216; GO:0042531; GO:0006471; GO:0070212; GO:0006355; GO:0006351,GO:0003950; GO:0003723
Cluster_1453,evm.TU.chromosome_14.7164,0.2112225414,0.3853686225,0.8673589851,151,-20.51,2 13,29 51,12,91.67%,91.67%,sp|Q460N5|PAR14_HUMAN,1.62E-165,Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3,tr|A0A2B4SFC8|A0A2B4SFC8_STYPI,0,Poly [ADP-ribose] polymerase 14 OS=Stylophora pistillata GN=PARP14 PE=4 SV=1,ref|XP_022787787.1|,0,poly [ADP-ribose] polymerase 14-like [Stylophora pistillata],GO:0005737; GO:0005829; GO:0016020; GO:0005634; GO:0019899; GO:0003950; GO:0070403; GO:0003723; GO:0045087; GO:0010629; GO:0060336; GO:0042532; GO:1902216; GO:0042531; GO:0006471; GO:0070212; GO:0006355; GO:0006351,GO:0003950; GO:0003723
Cluster_9205,evm.TU.chromosome_9.831,-0.1325071907,0.5886674606,0.9260727734,158,-21.76,2 16,803 826,16,81.25%,87.50%,sp|Q6AY20|MPRD_RAT,1.80E-07,Cation-dependent mannose-6-phosphate receptor OS=Rattus norvegicus GN=M6pr PE=1 SV=1,tr|A0A2B4RWP7|A0A2B4RWP7_STYPI,7.38E-58,Cation-dependent mannose-6-phosphate receptor OS=Stylophora pistillata GN=M6pr PE=4 SV=1,ref|XP_022796314.1|,8.12E-87,uncharacterized protein LOC111334770 [Stylophora pistillata],GO:0005768; GO:0016021; GO:0005770; GO:0005765; GO:0016020; GO:0048471; GO:0005802; GO:0005537; GO:0015578; GO:1905394; GO:0033299,GO:0016021
Cluster_8986,evm.TU.chromosome_3.2008,-0.1927724838,0.4291253446,0.8816489997,154,-21.84,2 21,238 261,21,66.67%,80.95%,sp|B3EWY9|MLP_ACRMI,6.34E-29,Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1,tr|A0A2B4SF59|A0A2B4SF59_STYPI,0,Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1,gb|PFX27739.1|,0,Hemicentin-1 [Stylophora pistillata],GO:0016021; GO:0005509; GO:0007160,
Cluster_4696,evm.TU.chromosome_3.2001,-0.2915441207,0.2258705324,0.7939152156,161,-20.37,2 21,874 893,19,73.68%,84.21%,sp|B3EWY9|MLP_ACRMI,4.83E-48,Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1,tr|A0A2B4SF59|A0A2B4SF59_STYPI,1.04E-132,Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1,ref|XP_020607513.1|,1.31E-144,coadhesin-like [Orbicella faveolata],GO:0016021; GO:0005509; GO:0007160,
Cluster_3406,evm.TU.chromosome_14.7295,0.0624246194,0.7995906252,0.9697762179,154,-20.15,2 18,359 380,17,82.35%,82.35%,sp|P22757|HE_PARLI,1.88E-52,Hatching enzyme OS=Paracentrotus lividus PE=1 SV=1,tr|A0A2B4SM76|A0A2B4SM76_STYPI,7.36E-110,Stromelysin-1 OS=Stylophora pistillata GN=MMP3 PE=4 SV=1,ref|XP_020631312.1|,3.03E-148,LOW QUALITY PROTEIN: matrilysin-like [Orbicella faveolata],GO:0031012; GO:0004222; GO:0008270,GO:0031012; GO:0004222; GO:0008270
Cluster_1192,evm.TU.chromosome_11.830,-0.3625916993,0.1270919246,0.711222993,158,-21.1,2 21,88 108,19,73.68%,78.95%,NA,NA,NA,tr|A0A2B4RU27|A0A2B4RU27_STYPI,1.93E-175,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene15832 PE=4 SV=1,ref|XP_020628610.1|,0,uncharacterized protein LOC110065782 [Orbicella faveolata],NA,GO:0046872
Cluster_4831,evm.TU.chromosome_12.1918,0.1877276038,0.4415289296,0.8853959932,160,-23.77,2 21,24 45,19,63.16%,84.21%,sp|C3YWU0|FUCO_BRAFL,0,Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2,tr|A0A2B4SVM0|A0A2B4SVM0_STYPI,0,Alpha-L-fucosidase OS=Stylophora pistillata GN=AWC38_SpisGene2527 PE=4 SV=1,ref|XP_020619216.1|,0,alpha-L-fucosidase-like [Orbicella faveolata],GO:0005576; GO:0004560; GO:0006004,GO:0004560; GO:0006004
Cluster_3406,evm.TU.chromosome_10.3254,0.1114157355,0.6497582768,0.940139207,155,-22.75,2 21,99 121,20,70.00%,75.00%,NA,NA,NA,NA,NA,NA,ref|XP_020622797.1|,5.58E-28,uncharacterized protein LOC110060368 [Orbicella faveolata],NA,NA
Cluster_1765,evm.TU.chromosome_9.587,0.07627448788,0.7562918865,0.961900785,162,-20.49,2 21,55 75,19,78.95%,78.95%,sp|Q8NFZ3|NLGNY_HUMAN,3.14E-56,"Neuroligin-4, Y-linked OS=Homo sapiens GN=NLGN4Y PE=2 SV=1",tr|A0A2B4SZS3|A0A2B4SZS3_STYPI,4.47E-178,"Neuroligin-4, X-linked OS=Stylophora pistillata GN=NLGN4X PE=4 SV=1",ref|XP_020624073.1|,0,"neuroligin-4, X-linked-like [Orbicella faveolata]",GO:0098985; GO:0030054; GO:0009986; GO:0005887; GO:0005886; GO:0014069; GO:0045211; GO:0089717; GO:0098983; GO:0045202; GO:0052689; GO:0050839; GO:0042043; GO:0004872; GO:0097110; GO:0007612; GO:0050804; GO:0007158; GO:0097104; GO:0099054; GO:0097105; GO:0035176; GO:0048488; GO:0071625,GO:0016787
Cluster_3037,evm.TU.chromosome_14.5476,0.07618108232,0.7565817359,0.96191807,155,-20.84,2 17,399 420,16,81.25%,81.25%,NA,NA,NA,tr|A0A2B4RGQ0|A0A2B4RGQ0_STYPI,3.08E-53,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene20115 PE=4 SV=1,ref|XP_020612465.1|,7.37E-90,uncharacterized protein LOC110050832 [Orbicella faveolata],NA,
Cluster_2003,evm.TU.chromosome_2.351,-0.2219554099,0.3611032387,0.8586598216,147,-20.49,2 12,457 478,10,90.00%,90.00%,NA,NA,NA,tr|A0A2B4RGD9|A0A2B4RGD9_STYPI,9.75E-39,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene20455 PE=4 SV=1,ref|XP_020617925.1|,1.43E-91,uncharacterized protein LOC110055856 isoform X3 [Orbicella faveolata],NA,
Cluster_3331,evm.TU.chromosome_9.2837,0.2680299753,0.2672340444,0.8168564096,166,-21.12,2 21,400 423,21,76.19%,85.71%,sp|Q61555|FBN2_MOUSE,1.45E-23,Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2,tr|A0A2B4STG0|A0A2B4STG0_STYPI,1.33E-111,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Stylophora pistillata GN=KAS PE=4 SV=1",ref|XP_020625145.1|,0,transmembrane cell adhesion receptor mua-3-like isoform X2 [Orbicella faveolata],GO:0031012; GO:0005576; GO:0001527; GO:0005578; GO:0005509; GO:0005201; GO:0060346; GO:0043010; GO:0048048; GO:0030326; GO:0035108; GO:0030501; GO:0045669; GO:0035583,GO:0005509; GO:0016740; GO:0008152
